Entity_0: added Entitas.Unity.VisualDebugging.DebugComponent, fields[ debugBehaviour - Entity_0(Entitas.Unity.VisualDebugging.DebugComponent) (Entitas.Unity.VisualDebugging.EntityDebugBehaviour) ] at 0.005218
Entity_0: added ResourceComponent, fields[ name - Player ] at 0.009422
Entity_0: added PositionComponent, fields[ x - 0 y - 0 z - 0 ] at 0.01007
Entity_0: added MoveComponent, fields[ speed - 0 maxSpeed - 0.025 ] at 0.010342
Entity_0: added AcceleratableComponent at 0.010474
Entity_1: added Entitas.Unity.VisualDebugging.DebugComponent, fields[ debugBehaviour - Entity_1(Entitas.Unity.VisualDebugging.DebugComponent) (Entitas.Unity.VisualDebugging.EntityDebugBehaviour) ] at 0.010973
Entity_1: added ResourceComponent, fields[ name - Opponent ] at 0.011026
Entity_1: added PositionComponent, fields[ x - 1 y - 0 z - 0 ] at 0.011059
Entity_1: added MoveComponent, fields[ speed - 1.715422E-05 maxSpeed - 1.715422E-05 ] at 0.011151
Entity_2: added Entitas.Unity.VisualDebugging.DebugComponent, fields[ debugBehaviour - Entity_2(Entitas.Unity.VisualDebugging.DebugComponent) (Entitas.Unity.VisualDebugging.EntityDebugBehaviour) ] at 0.011661
Entity_2: added ResourceComponent, fields[ name - Opponent ] at 0.012362
Entity_2: added PositionComponent, fields[ x - 2 y - 0 z - 0 ] at 0.012516
Entity_2: added MoveComponent, fields[ speed - 0.008355089 maxSpeed - 0.008355089 ] at 0.012687
Entity_3: added Entitas.Unity.VisualDebugging.DebugComponent, fields[ debugBehaviour - Entity_3(Entitas.Unity.VisualDebugging.DebugComponent) (Entitas.Unity.VisualDebugging.EntityDebugBehaviour) ] at 0.013022
Entity_3: added ResourceComponent, fields[ name - Opponent ] at 0.013181
Entity_3: added PositionComponent, fields[ x - 3 y - 0 z - 0 ] at 0.01334
Entity_3: added MoveComponent, fields[ speed - 0.01352687 maxSpeed - 0.01352687 ] at 0.013458
Entity_4: added Entitas.Unity.VisualDebugging.DebugComponent, fields[ debugBehaviour - Entity_4(Entitas.Unity.VisualDebugging.DebugComponent) (Entitas.Unity.VisualDebugging.EntityDebugBehaviour) ] at 0.01366
Entity_4: added ResourceComponent, fields[ name - Opponent ] at 0.013864
Entity_4: added PositionComponent, fields[ x - 4 y - 0 z - 0 ] at 0.014061
Entity_4: added MoveComponent, fields[ speed - 0.008494023 maxSpeed - 0.008494023 ] at 0.014224
Entity_5: added Entitas.Unity.VisualDebugging.DebugComponent, fields[ debugBehaviour - Entity_5(Entitas.Unity.VisualDebugging.DebugComponent) (Entitas.Unity.VisualDebugging.EntityDebugBehaviour) ] at 0.01441
Entity_5: added ResourceComponent, fields[ name - Opponent ] at 0.014562
Entity_5: added PositionComponent, fields[ x - 5 y - 0 z - 0 ] at 0.014681
Entity_5: added MoveComponent, fields[ speed - 0.005847021 maxSpeed - 0.005847021 ] at 0.014827
Entity_6: added Entitas.Unity.VisualDebugging.DebugComponent, fields[ debugBehaviour - Entity_6(Entitas.Unity.VisualDebugging.DebugComponent) (Entitas.Unity.VisualDebugging.EntityDebugBehaviour) ] at 0.015144
Entity_6: added ResourceComponent, fields[ name - Opponent ] at 0.015278
Entity_6: added PositionComponent, fields[ x - 6 y - 0 z - 0 ] at 0.015394
Entity_6: added MoveComponent, fields[ speed - 0.0128494 maxSpeed - 0.0128494 ] at 0.015509
Entity_7: added Entitas.Unity.VisualDebugging.DebugComponent, fields[ debugBehaviour - Entity_7(Entitas.Unity.VisualDebugging.DebugComponent) (Entitas.Unity.VisualDebugging.EntityDebugBehaviour) ] at 0.015722
Entity_7: added ResourceComponent, fields[ name - Opponent ] at 0.015861
Entity_7: added PositionComponent, fields[ x - 7 y - 0 z - 0 ] at 0.015976
Entity_7: added MoveComponent, fields[ speed - 0.01097568 maxSpeed - 0.01097568 ] at 0.016088
Entity_8: added Entitas.Unity.VisualDebugging.DebugComponent, fields[ debugBehaviour - Entity_8(Entitas.Unity.VisualDebugging.DebugComponent) (Entitas.Unity.VisualDebugging.EntityDebugBehaviour) ] at 0.016304
Entity_8: added ResourceComponent, fields[ name - Opponent ] at 0.016438
Entity_8: added PositionComponent, fields[ x - 8 y - 0 z - 0 ] at 0.016574
Entity_8: added MoveComponent, fields[ speed - 0.009140569 maxSpeed - 0.009140569 ] at 0.016678
Entity_9: added Entitas.Unity.VisualDebugging.DebugComponent, fields[ debugBehaviour - Entity_9(Entitas.Unity.VisualDebugging.DebugComponent) (Entitas.Unity.VisualDebugging.EntityDebugBehaviour) ] at 0.016899
Entity_9: added ResourceComponent, fields[ name - Opponent ] at 0.017031
Entity_9: added PositionComponent, fields[ x - 9 y - 0 z - 0 ] at 0.017191
Entity_9: added MoveComponent, fields[ speed - 0.0008483649 maxSpeed - 0.0008483649 ] at 0.017296
Entity_10: added Entitas.Unity.VisualDebugging.DebugComponent, fields[ debugBehaviour - Entity_10(Entitas.Unity.VisualDebugging.DebugComponent) (Entitas.Unity.VisualDebugging.EntityDebugBehaviour) ] at 0.01833
Entity_10: added FinishLineComponent at 0.018728
Entity_10: added ResourceComponent, fields[ name - Finish Line ] at 0.018843
Entity_10: added PositionComponent, fields[ x - 4.5 y - 3.5 z - 0 ] at 0.018974
Entity_0: added ViewComponent, fields[ gameObject - Player(Clone) (UnityEngine.GameObject) ] at 0.103403
Entity_1: added ViewComponent, fields[ gameObject - Opponent(Clone) (UnityEngine.GameObject) ] at 0.104423
Entity_2: added ViewComponent, fields[ gameObject - Opponent(Clone) (UnityEngine.GameObject) ] at 0.104525
Entity_3: added ViewComponent, fields[ gameObject - Opponent(Clone) (UnityEngine.GameObject) ] at 0.104622
Entity_4: added ViewComponent, fields[ gameObject - Opponent(Clone) (UnityEngine.GameObject) ] at 0.104726
Entity_5: added ViewComponent, fields[ gameObject - Opponent(Clone) (UnityEngine.GameObject) ] at 0.10482
Entity_6: added ViewComponent, fields[ gameObject - Opponent(Clone) (UnityEngine.GameObject) ] at 0.104923
Entity_7: added ViewComponent, fields[ gameObject - Opponent(Clone) (UnityEngine.GameObject) ] at 0.105015
Entity_8: added ViewComponent, fields[ gameObject - Opponent(Clone) (UnityEngine.GameObject) ] at 0.105107
Entity_9: added ViewComponent, fields[ gameObject - Opponent(Clone) (UnityEngine.GameObject) ] at 0.105197
Entity_10: added ViewComponent, fields[ gameObject - Finish Line(Clone) (UnityEngine.GameObject) ] at 0.109854
Entity_0: replaced PositionComponent, fields[ x - 0 y - 0 z - 0 ] at 0.111823
Entity_1: replaced PositionComponent, fields[ x - 1 y - 1.715422E-05 z - 0 ] at 0.111858
Entity_2: replaced PositionComponent, fields[ x - 2 y - 0.008355089 z - 0 ] at 0.111885
Entity_3: replaced PositionComponent, fields[ x - 3 y - 0.01352687 z - 0 ] at 0.111909
Entity_4: replaced PositionComponent, fields[ x - 4 y - 0.008494023 z - 0 ] at 0.111931
Entity_5: replaced PositionComponent, fields[ x - 5 y - 0.005847021 z - 0 ] at 0.111953
Entity_6: replaced PositionComponent, fields[ x - 6 y - 0.0128494 z - 0 ] at 0.111975
Entity_7: replaced PositionComponent, fields[ x - 7 y - 0.01097568 z - 0 ] at 0.111997
Entity_8: replaced PositionComponent, fields[ x - 8 y - 0.009140569 z - 0 ] at 0.112018
Entity_9: replaced PositionComponent, fields[ x - 9 y - 0.0008483649 z - 0 ] at 0.112039
Entity_0: replaced PositionComponent, fields[ x - 0 y - 0 z - 0 ] at 0.271352
Entity_1: replaced PositionComponent, fields[ x - 1 y - 3.430844E-05 z - 0 ] at 0.271421
Entity_2: replaced PositionComponent, fields[ x - 2 y - 0.01671018 z - 0 ] at 0.271447
Entity_3: replaced PositionComponent, fields[ x - 3 y - 0.02705373 z - 0 ] at 0.271471
Entity_4: replaced PositionComponent, fields[ x - 4 y - 0.01698805 z - 0 ] at 0.271494
Entity_5: replaced PositionComponent, fields[ x - 5 y - 0.01169404 z - 0 ] at 0.271516
Entity_6: replaced PositionComponent, fields[ x - 6 y - 0.0256988 z - 0 ] at 0.271537
Entity_7: replaced PositionComponent, fields[ x - 7 y - 0.02195137 z - 0 ] at 0.271559
Entity_8: replaced PositionComponent, fields[ x - 8 y - 0.01828114 z - 0 ] at 0.271582
Entity_9: replaced PositionComponent, fields[ x - 9 y - 0.00169673 z - 0 ] at 0.271604
Entity_0: replaced PositionComponent, fields[ x - 0 y - 0 z - 0 ] at 0.401076
Entity_1: replaced PositionComponent, fields[ x - 1 y - 5.146265E-05 z - 0 ] at 0.401127
Entity_2: replaced PositionComponent, fields[ x - 2 y - 0.02506527 z - 0 ] at 0.401156
Entity_3: replaced PositionComponent, fields[ x - 3 y - 0.0405806 z - 0 ] at 0.401182
Entity_4: replaced PositionComponent, fields[ x - 4 y - 0.02548207 z - 0 ] at 0.401208
Entity_5: replaced PositionComponent, fields[ x - 5 y - 0.01754106 z - 0 ] at 0.401237
Entity_6: replaced PositionComponent, fields[ x - 6 y - 0.0385482 z - 0 ] at 0.401264
