Entity_0:  -> created,  at 0
Entity_0:added -> Entitas.Unity.VisualProfilingTool.DebugComponent, fields[ debugBehaviour - Entity_0(Entitas.Unity.VisualProfilingTool.DebugComponent) (Entitas.Unity.VisualProfilingTool.EntityDebugBehaviour) ] at 0
Entity_0:added -> PlayerComponent,  at 0
Entity_0:added -> GameObjectComponent, fields[ gameObject - Player(Clone) (UnityEngine.GameObject) ] at 15.6215
Entity_0:added -> PlayerSpeedComponent, fields[ speedX - 0 speedY - 0 ] at 15.6215
Entity_0:added -> PositionComponent, fields[ x - -55 y - 0 ] at 15.6215
Entity_1:  -> created,  at 15.6215
Entity_1:added -> Entitas.Unity.VisualProfilingTool.DebugComponent, fields[ debugBehaviour - Entity_1(Entitas.Unity.VisualProfilingTool.DebugComponent) (Entitas.Unity.VisualProfilingTool.EntityDebugBehaviour) ] at 15.6215
Entity_1:added -> ScoreComponent, fields[ score - 0 ] at 15.6215
Entity_2:  -> created,  at 15.6215
Entity_2:added -> Entitas.Unity.VisualProfilingTool.DebugComponent, fields[ debugBehaviour - Entity_2(Entitas.Unity.VisualProfilingTool.DebugComponent) (Entitas.Unity.VisualProfilingTool.EntityDebugBehaviour) ] at 15.6215
Entity_2:added -> AsteroidComponent,  at 15.6215
Entity_2:added -> PositionComponent, fields[ x - 60 y - -12.77165 ] at 15.6215
Entity_2:added -> GameObjectComponent, fields[ gameObject - Asteroid(Clone) (UnityEngine.GameObject) ] at 31.2473
Entity_2:added -> AsteroidSpeedComponent, fields[ speed - 0.9600445 ] at 31.2473
Entity_2:replaced -> PositionComponent, fields[ x - 59.03996 y - -12.77165 ] at 31.2473
Entity_3:  -> created,  at 46.8739
Entity_3:added -> Entitas.Unity.VisualProfilingTool.DebugComponent, fields[ debugBehaviour - Entity_3(Entitas.Unity.VisualProfilingTool.DebugComponent) (Entitas.Unity.VisualProfilingTool.EntityDebugBehaviour) ] at 46.8739
Entity_3:added -> AsteroidComponent,  at 46.8739
Entity_3:added -> PositionComponent, fields[ x - 60 y - 37.17181 ] at 46.8739
Entity_3:added -> GameObjectComponent, fields[ gameObject - Asteroid(Clone) (UnityEngine.GameObject) ] at 46.8739
Entity_3:added -> AsteroidSpeedComponent, fields[ speed - 0.2222759 ] at 46.8739
Entity_2:replaced -> PositionComponent, fields[ x - 58.07991 y - -12.77165 ] at 46.8739
Entity_3:replaced -> PositionComponent, fields[ x - 59.77773 y - 37.17181 ] at 46.8739
Entity_4:  -> created,  at 78.1331
Entity_4:added -> Entitas.Unity.VisualProfilingTool.DebugComponent, fields[ debugBehaviour - Entity_4(Entitas.Unity.VisualProfilingTool.DebugComponent) (Entitas.Unity.VisualProfilingTool.EntityDebugBehaviour) ] at 78.1331
Entity_4:added -> AsteroidComponent,  at 78.1331
Entity_4:added -> PositionComponent, fields[ x - 60 y - 3.774094 ] at 78.1331
Entity_4:added -> GameObjectComponent, fields[ gameObject - Asteroid(Clone) (UnityEngine.GameObject) ] at 78.1331
Entity_4:added -> AsteroidSpeedComponent, fields[ speed - 0.8668919 ] at 78.1331
Entity_2:replaced -> PositionComponent, fields[ x - 57.11987 y - -12.77165 ] at 78.1331
Entity_3:replaced -> PositionComponent, fields[ x - 59.55545 y - 37.17181 ] at 78.1331
Entity_4:replaced -> PositionComponent, fields[ x - 59.13311 y - 3.774094 ] at 78.1331
Entity_5:  -> created,  at 93.7529
Entity_5:added -> Entitas.Unity.VisualProfilingTool.DebugComponent, fields[ debugBehaviour - Entity_5(Entitas.Unity.VisualProfilingTool.DebugComponent) (Entitas.Unity.VisualProfilingTool.EntityDebugBehaviour) ] at 93.7529
Entity_5:added -> AsteroidComponent,  at 93.7529
Entity_5:added -> PositionComponent, fields[ x - 60 y - 14.18685 ] at 93.7529
